carat,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
0.04158004158004158,0.5333333333333334,0.2500000000000001,0.44227188081936686,0.0799660441426146,0.09245283018867924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1050
0.17463617463617465,0.5249999999999999,0.2692307692307693,0.6042830540037244,0.10967741935483871,0.1261006289308176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4515
0.11434511434511435,0.48888888888888893,0.2500000000000001,0.553072625698324,0.10016977928692701,0.11289308176100628,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2415
0.031185031185031187,0.5055555555555555,0.28846153846153844,0.4227188081936685,0.0765704584040747,0.0871069182389937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,906
0.2681912681912682,0.5416666666666665,0.28846153846153844,0.6703910614525139,0.12325976230899831,0.1421383647798742,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7773
0.10602910602910603,0.49444444444444424,0.2500000000000001,0.5353817504655494,0.09898132427843803,0.11069182389937107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2741
0.10810810810810811,0.497222222222222,0.2692307692307693,0.5391061452513967,0.09796264855687606,0.11069182389937107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2869
0.14553014553014554,0.5472222222222223,0.28846153846153844,0.5642458100558658,0.10441426146010188,0.12044025157232705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4661
0.17463617463617465,0.461111111111111,0.3653846153846153,0.6163873370577281,0.11137521222410865,0.12358490566037736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6278
0.10810810810810811,0.47499999999999987,0.326923076923077,0.5391061452513967,0.09881154499151104,0.10974842767295598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3449
0.029106029106029108,0.575,0.2692307692307693,0.41154562383612664,0.07538200339558575,0.08867924528301886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,537
0.04573804573804574,0.4444444444444444,0.2692307692307693,0.45810055865921784,0.08404074702886248,0.09150943396226416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,843
